2022-05-16 00:07:24.369 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:07:54.371 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:07:54.372 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:07:54.378 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:07:54.379 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:07:54.380 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:07:54.385 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:07:54.386 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:08:24.383 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:08:24.384 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:08:24.390 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:08:24.392 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:08:24.393 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:08:24.398 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:08:24.399 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:08:54.404 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:08:54.405 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:08:54.410 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:08:54.412 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:08:54.413 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:08:54.416 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:08:54.417 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:09:24.415 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:09:24.416 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:09:24.425 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:09:24.427 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:09:24.428 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:09:24.434 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:09:24.435 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:09:54.442 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:09:54.442 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:09:54.443 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:09:54.444 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:09:54.449 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:09:54.449 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:09:54.449 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:10:24.465 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
2022-05-16 00:10:24.465 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://localhost:8761/eureka/apps/CATALOG-SERVICE/ITA-015-CL:CATALOG-SERVICE:9001?status=UP&lastDirtyTimestamp=1652639604180
2022-05-16 00:10:24.466 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:10:24.466 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2022-05-16 00:10:24.472 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:10:24.473 DEBUG 15948 --- [DiscoveryClient-HeartbeatExecutor-0] o.s.web.client.RestTemplate              : Response 200 OK
2022-05-16 00:10:24.473 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2022-05-16 00:10:54.478 DEBUG 15948 --- [DiscoveryClient-CacheRefreshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://localhost:8761/eureka/apps/delta
